 Nome da IES, Sigla da IES, Categoria Administrativa, Área de Avaliação, Município do Curso, Sigla da UF, CPC (Faixa)
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA CIVIL,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,AGRONOMIA,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA FLORESTAL,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,MEDICINA,Cuiabá,MT,3
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENGENHARIA ELÉTRICA,Cuiabá,MT,5
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ENFERMAGEM,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,NUTRIÇÃO,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,MEDICINA VETERINÁRIA,Cuiabá,MT,4
UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pública Federal,ARQUITETURA E URBANISMO,Cuiabá,MT,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ARQUITETURA E URBANISMO,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,AGRONOMIA,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA CIVIL,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA ELÉTRICA,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA MECÂNICA,Brasília,DF,5
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ENGENHARIA FLORESTAL,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,MEDICINA,Brasília,DF,4
UNIVERSIDADE DE BRASÍLIA,UNB,Pública Federal,ODONTOLOGIA,Brasília,DF,4
